@RELATION bitcoin_clustering

@ATTRIBUTE open_price NUMERIC
@ATTRIBUTE high_price NUMERIC
@ATTRIBUTE low_price NUMERIC
@ATTRIBUTE close_price NUMERIC
@ATTRIBUTE volume NUMERIC

@DATA
128438000.0,129370000.0,128110000.0,128416000.0,302.68417015
128445000.0,130370000.0,127998000.0,130146000.0,418.13965213
130146000.0,130351000.0,128823000.0,129775000.0,230.88520531
129775000.0,132000000.0,129700000.0,131138000.0,235.92776186
131138000.0,131288000.0,130447000.0,130631000.0,78.1457269
130631000.0,130776000.0,129001000.0,129160000.0,136.50957742
129160000.0,129831000.0,128700000.0,128820000.0,121.4107635
128819000.0,129069000.0,127604000.0,127669000.0,302.50453785
127702000.0,128760000.0,127623000.0,128540000.0,166.03551049
128555000.0,129384000.0,128349000.0,128680000.0,162.14488887
128680000.0,128843000.0,128160000.0,128783000.0,139.70928153
128800000.0,129100000.0,127900000.0,128107000.0,264.04309345
128039000.0,129150000.0,128014000.0,129150000.0,177.35350361
129150000.0,129644000.0,128494000.0,129576000.0,166.0060019
129623000.0,129780000.0,129120000.0,129283000.0,146.25716731
129319000.0,129810000.0,129170000.0,129277000.0,165.2683968
129300000.0,129700000.0,129087000.0,129672000.0,93.30239106
129662000.0,130294000.0,129662000.0,129870000.0,213.81403252
129870000.0,130902000.0,129869000.0,130791000.0,197.57370848
130791000.0,130795000.0,130021000.0,130222000.0,153.21380845
130220000.0,130222000.0,129697000.0,129952000.0,137.82752295
129953000.0,130502000.0,129908000.0,130346000.0,122.69263576
130317000.0,130352000.0,129800000.0,129999000.0,96.61471294
129997000.0,130150000.0,129184000.0,130148000.0,140.24223681
130128000.0,130903000.0,130041000.0,130903000.0,179.71759635
130902000.0,131670000.0,130901000.0,131670000.0,347.26686149
131670000.0,132866000.0,131250000.0,132255000.0,367.73834682
132281000.0,133300000.0,131700000.0,132489000.0,252.72886026
132489000.0,133151000.0,132100000.0,133150000.0,119.8324876
133150000.0,133450000.0,132932000.0,133025000.0,88.87645119
133025000.0,133504000.0,132591000.0,133504000.0,86.2300736
133500000.0,134300000.0,133020000.0,133303000.0,251.30151775
133175000.0,133557000.0,133000000.0,133182000.0,149.66196972
133182000.0,134000000.0,133050000.0,133301000.0,218.81307629
133254000.0,133400000.0,132885000.0,132999000.0,226.6318408
132999000.0,134550000.0,132895000.0,134542000.0,343.80108563
134547000.0,134577000.0,133300000.0,133531000.0,210.98114402
133421000.0,133920000.0,132390000.0,132491000.0,207.57330263
132490000.0,132770000.0,131438000.0,132560000.0,277.40000883
132560000.0,133205000.0,132254000.0,132899000.0,135.21529706
132880000.0,133150000.0,132401000.0,132650000.0,79.48088082
132649000.0,132966000.0,132125000.0,132775000.0,88.85843794
132774000.0,132992000.0,132545000.0,132743000.0,75.00603025
132734000.0,133133000.0,132534000.0,133069000.0,89.23938572
133034000.0,133081000.0,132533000.0,132533000.0,78.99830751
132532000.0,132659000.0,132183000.0,132556000.0,95.70468258
132540000.0,133750000.0,132379000.0,133352000.0,151.6829225
133352000.0,133600000.0,133017000.0,133567000.0,176.14229472
133457000.0,133599000.0,133000000.0,133567000.0,171.41497926
133534000.0,134000000.0,133208000.0,133251000.0,165.98500952
133251000.0,133707000.0,133051000.0,133314000.0,117.0802866
133181000.0,133511000.0,133030000.0,133055000.0,59.45192435
133109000.0,133300000.0,132850000.0,132912000.0,61.64856835
132870000.0,133270000.0,132850000.0,133158000.0,29.28863138
133070000.0,133339000.0,132852000.0,133058000.0,26.87109829
132981000.0,133095000.0,132600000.0,132703000.0,46.10693917
132703000.0,132949000.0,132601000.0,132800000.0,47.25593606
132800000.0,133329000.0,132705000.0,133222000.0,105.50777991
133222000.0,133507000.0,133084000.0,133138000.0,100.41533667
133144000.0,133490000.0,132850000.0,132972000.0,126.431943
133041000.0,133452000.0,132953000.0,133406000.0,71.16270265
133406000.0,134500000.0,133345000.0,134425000.0,323.51016599
134400000.0,134453000.0,133850000.0,134254000.0,154.7732836
134254000.0,134299000.0,133702000.0,133744000.0,113.56376353
133847000.0,134042000.0,133620000.0,133653000.0,70.42810336
133653000.0,133953000.0,133540000.0,133772000.0,90.6262241
133781000.0,133950000.0,133222000.0,133222000.0,125.50018444
133221000.0,133800000.0,133200000.0,133500000.0,61.68965911
133495000.0,134000000.0,133478000.0,133809000.0,87.26680855
133809000.0,134231000.0,133738000.0,134188000.0,153.15835846
134151000.0,135000000.0,133900000.0,134727000.0,254.69641612
134716000.0,135448000.0,134529000.0,134636000.0,283.11364224
134636000.0,135000000.0,134310000.0,134999000.0,151.31013027
134999000.0,135611000.0,134687000.0,135596000.0,194.40464796
135579000.0,136274000.0,135400000.0,135873000.0,418.59023833
135868000.0,136191000.0,135475000.0,135600000.0,158.81286323
135549000.0,135650000.0,134700000.0,134750000.0,111.64791296
134701000.0,135000000.0,134349000.0,134631000.0,75.5456207
134631000.0,134850000.0,134373000.0,134504000.0,52.57549637
134503000.0,134957000.0,134349000.0,134479000.0,68.18632175
134478000.0,134685000.0,134279000.0,134509000.0,71.45554164
134509000.0,135030000.0,134499000.0,134800000.0,102.01032196
134800000.0,134899000.0,134400000.0,134542000.0,135.3499033
134542000.0,134809000.0,134137000.0,134690000.0,226.66334644
134690000.0,134770000.0,134000000.0,134088000.0,151.47286996
134088000.0,134232000.0,134000000.0,134217000.0,124.67035653
134217000.0,134225000.0,133774000.0,133855000.0,156.9429716
133852000.0,133973000.0,133702000.0,133794000.0,108.03275647
133791000.0,134588000.0,133752000.0,134541000.0,114.61954771
134511000.0,134600000.0,133829000.0,133830000.0,184.21565931
133829000.0,134252000.0,133815000.0,134128000.0,119.83136745
134090000.0,134320000.0,134016000.0,134158000.0,96.88697047
134158000.0,134160000.0,133900000.0,134041000.0,73.48017425
134041000.0,134048000.0,133615000.0,133615000.0,145.71322133
133615000.0,133893000.0,133600000.0,133706000.0,86.85618685
133702000.0,134192000.0,133698000.0,134097000.0,116.25735971
134096000.0,134317000.0,133857000.0,133860000.0,95.46299233
133860000.0,134049000.0,133801000.0,133976000.0,89.46306859
133975000.0,134195000.0,133914000.0,134077000.0,76.44714287
134077000.0,134400000.0,133957000.0,134385000.0,47.63366875
134395000.0,134432000.0,134152000.0,134260000.0,27.21834875
134260000.0,134429000.0,134134000.0,134420000.0,27.04985141
134424000.0,134473000.0,134300000.0,134472000.0,32.41584209
134473000.0,134500000.0,134198000.0,134302000.0,23.63281199
134302000.0,134344000.0,133895000.0,133950000.0,47.90759596
133955000.0,133999000.0,133708000.0,133925000.0,103.36787322
133913000.0,133962000.0,133700000.0,133701000.0,98.62499031
133722000.0,134214000.0,133610000.0,133680000.0,180.52567712
133670000.0,134104000.0,133500000.0,133542000.0,197.89163229
133542000.0,133918000.0,133297000.0,133391000.0,144.43022991
133391000.0,134198000.0,133308000.0,134040000.0,110.83425237
134040000.0,134172000.0,133804000.0,134171000.0,89.89519969
134169000.0,134200000.0,133935000.0,134186000.0,75.89011647
134185000.0,134400000.0,134075000.0,134115000.0,81.77215839
134115000.0,134241000.0,134000000.0,134181000.0,57.99479774
134199000.0,134995000.0,134178000.0,134678000.0,180.63852898
134678000.0,134900000.0,134395000.0,134899000.0,104.25403915
134892000.0,134928000.0,134400000.0,134555000.0,89.17201081
134555000.0,134995000.0,134552000.0,134995000.0,130.88054071
134995000.0,134996000.0,134580000.0,134779000.0,104.89251048
134729000.0,135197000.0,134588000.0,134819000.0,193.72297983
134819000.0,135107000.0,134761000.0,134972000.0,112.22373788
134933000.0,135084000.0,134645000.0,134648000.0,88.02538364
134649000.0,134967000.0,134601000.0,134818000.0,55.94003237
134818000.0,135197000.0,134756000.0,135068000.0,37.71152081
135068000.0,135199000.0,134550000.0,134578000.0,37.2958521
134552000.0,134852000.0,134000000.0,134299000.0,114.11154896
134150000.0,134401000.0,133849000.0,134221000.0,134.47547233
134221000.0,134778000.0,134150000.0,134638000.0,130.36111166
134638000.0,134775000.0,134200000.0,134600000.0,153.4800012
134596000.0,134775000.0,133800000.0,133802000.0,228.72716314
133802000.0,134800000.0,133800000.0,134787000.0,343.57354662
134787000.0,135800000.0,134744000.0,135641000.0,425.66097798
135640000.0,135680000.0,135172000.0,135318000.0,195.80124414
135319000.0,135366000.0,134000000.0,134258000.0,272.03840382
134258000.0,134846000.0,134000000.0,134672000.0,273.09536338
134671000.0,134749000.0,134159000.0,134300000.0,120.44970723
134328000.0,134521000.0,134100000.0,134272000.0,113.20005208
134274000.0,134552000.0,133838000.0,134075000.0,185.7261073
134075000.0,134125000.0,132260000.0,133279000.0,624.07903881
133182000.0,133941000.0,133040000.0,133888000.0,239.63769355
133888000.0,133907000.0,132800000.0,133035000.0,199.21387815
133034000.0,133602000.0,132947000.0,133424000.0,161.745543
133424000.0,134091000.0,133272000.0,133727000.0,196.71670541
133727000.0,134489000.0,133590000.0,133880000.0,217.27684413
133900000.0,134800000.0,133802000.0,134151000.0,296.82093138
134158000.0,134990000.0,133539000.0,134796000.0,349.92881855
134801000.0,135000000.0,133830000.0,134183000.0,290.85708413
134183000.0,134601000.0,132600000.0,132752000.0,203.15117281
132752000.0,133794000.0,132610000.0,133541000.0,77.00442412
133550000.0,133850000.0,133110000.0,133711000.0,56.10856645
133711000.0,134250000.0,133459000.0,133686000.0,81.03691988
133611000.0,133805000.0,133070000.0,133303000.0,127.50783874
133303000.0,133500000.0,133093000.0,133095000.0,139.52069529
133095000.0,133600000.0,133000000.0,133535000.0,166.62326815
133523000.0,134250000.0,133357000.0,133970000.0,281.76641925
133970000.0,134000000.0,133371000.0,133753000.0,177.48879601
133753000.0,134250000.0,133608000.0,134124000.0,136.50535146
134124000.0,134124000.0,133800000.0,133800000.0,125.15784844
133800000.0,133931000.0,133500000.0,133502000.0,125.48176318
133502000.0,133819000.0,133477000.0,133690000.0,107.07737166
133695000.0,133770000.0,133382000.0,133469000.0,155.33264182
133469000.0,133853000.0,133199000.0,133754000.0,284.53147953
133754000.0,133789000.0,133261000.0,133532000.0,119.4590026
133532000.0,133536000.0,133195000.0,133293000.0,97.40920578
133293000.0,133499000.0,132700000.0,132770000.0,175.11992326
132774000.0,133339000.0,132500000.0,132511000.0,266.21083193
132511000.0,132866000.0,132331000.0,132715000.0,280.95236934
132715000.0,132770000.0,88266000.0,116450000.0,4331.75074203
115400000.0,132000000.0,115030000.0,128257000.0,4720.09115879
128257000.0,132760000.0,127668000.0,132519000.0,2886.96262805
132514000.0,134167000.0,131950000.0,132635000.0,1751.01493519
132611000.0,133100000.0,131697000.0,132995000.0,515.11664752
132988000.0,133222000.0,132499000.0,132831000.0,157.1273269
132800000.0,133446000.0,132000000.0,133410000.0,182.60784152
133415000.0,133915000.0,133277000.0,133850000.0,179.86168297
133901000.0,134650000.0,133850000.0,134541000.0,325.17986933
134541000.0,134645000.0,134000000.0,134598000.0,318.12077537
134598000.0,134680000.0,133661000.0,133700000.0,396.75764415
133720000.0,134501000.0,133600000.0,134425000.0,429.42245091
134419000.0,135601000.0,134227000.0,134889000.0,576.9860313
134889000.0,135001000.0,134096000.0,134993000.0,240.3767731
134994000.0,135009000.0,134355000.0,134442000.0,129.44951473
134445000.0,134800000.0,134343000.0,134632000.0,152.67616157
134620000.0,135100000.0,134580000.0,135100000.0,177.52167482
135099000.0,135581000.0,135099000.0,135418000.0,242.87721368
135423000.0,135430000.0,135147000.0,135377000.0,166.00789112
135377000.0,135590000.0,135280000.0,135578000.0,146.89296305
135578000.0,135954000.0,135578000.0,135880000.0,175.94206528
135879000.0,135880000.0,135166000.0,135270000.0,155.40930476
135270000.0,135331000.0,134787000.0,134920000.0,177.53158034
134920000.0,135004000.0,134000000.0,134751000.0,247.99367388
134750000.0,134996000.0,134230000.0,134668000.0,196.85334358
134667000.0,135304000.0,134270000.0,134707000.0,232.42010654
134707000.0,135356000.0,134419000.0,134889000.0,231.43791798
134889000.0,134966000.0,133499000.0,133877000.0,333.89301339
